address,amount
0x2EF2E49695F00fa835fB851c0575822f5f076a13,7915785761450277287136036
0x9d94EF33e7F8087117F85b3ff7b1d8F27E4053D5,4967440035500163493933763
0x445cc6C3D51EB0a63395a613a0960c7922bCA0d6,2261774599509454379078923
0xa4A6A282A7fC7F939e01D62D884355d79f5046C1,1586980637760899775821886
0x1D65d296b6Ad7Fdbf77D3C9CC44C9b2787f1A341,1579092972074587426224192
0x5E78C09984bd6608f8E913F0924062C043eD6ad7,1503353166756385464693655
0x62Da87FF2E2216F1858603A3Db9313E178da3112,1213897599330054827429379
0xFe13988736d95D052C2E45e5b4E1Ef2e2750b7F4,1179843960326434119480866
0x7F30A53F290fc551a089bd83107906bE649a92Bd,1104060803017664430620585
0xAe5fB390e5c4fA1962e39E98DBfb0ed8055Ed7A9,1103788031068885583800978
0x009023dA14A3C9f448B75f33cEb9291c21373bD8,915174978158169937299763
0x2d481a1b74c689481CEb8cEbd909962e4d6F5CDd,852642529616583469342124
0xB16fb56eF6e57aF533f26E577846ee045D0eC269,789526893873206391823986
0xD142c9cfE2F0BEF4c14594358fB65aeE1B726d2C,705810037742403228967298
0xE979438B331b28D3246f8444b74caB0f874b40e8,617789003917906537474433
0xAfC2F2D803479A2AF3A72022D54cc0901a0ec0d6,609293694539830836698438
0x9F7dfAb2222A473284205cdDF08a677726d786A0,525105384336744829364063
0xc2a39291ACf6AE4eD29c6Fcc15f1D54141F8d833,425989402968990009828387
0x98Dd467fBc8b32F08387f8888B161D5cD8C00889,425503237572603493274906
0xF64C2E6679E089cD1c3e303CA1245d4941747700,387569417977050371371105
0x95Bed7933b6046DF3F638654E53237cE8B6e1Dc3,374467236981183453838652
0xDe5e53c249e96dCDcF21bab9eC5Cfe7167516870,371988684930798616618436
0x575deEB3882BEE53ccd54d2e91F042425a33593E,350900841721421554024465
0xBf74C12D6e6A8C2Bd7f36a917250e2bf8BFFEFC1,348434575835187994535282
0x6b504204a85E0231b1a1B1926B9264939F29c65e,332088753752374607882342
0xf5E0639f856698D93c9D9886011018c304D52764,315810441738525007447037
0xa99640210D21A7318c3b85C19Ce5b3d49251E04d,285719708769751208978589
0x978C01b69dD722754D65fe39c4308F51B912a73b,285094348770970969942939
0x8f38831AF22ba36e871C15F2F1EC174446183B0c,227916997978991576532902
0x554604D5dBDca3ac382097f9A2a7e9AF4BbEf224,219637862842443835402551
0xA30a04384c162f4458aa5919a0FAE2db579d802a,199889585168342015702263
0x963F971A9a10926A0BB28be1F73e1B6160fB4B59,197745676988063814526649
0x7d6149aD9A573A6E2Ca6eBf7D4897c1B766841B4,192752559086502842829997
0x491a6C284a60D9dfDb6c8017B5823414FF6B9EC6,192503587340999935364554
0x411fA33f660EDded5dddc57cd50ac33eB4684C6B,187777550472354349978241
0x53390590476dC98860316e4B46Bb9842AF55efc4,183833017824366316006582
0x44Be25318903086EE9b6A163D8C63aC6a8a22a3f,168534912233706817605037
0x2940f0096c23ECFDe5D4331f9a8BEA65b6F90858,158005027908985705533352
0xe3C9E09E49F75d7EC947484abf74579Ea5aa0e18,148233292783701112197477
0x0C76b11a7eC51EE5CC205cA840ab808049d156Ec,147332508328027622289325
0x81D1A8FEEc4843D709CaAb4dD6338123FF54f1e1,138693820866024547232544
0x6750adBb477d0310f395DA2AD93abE4B9bfd1c87,138308274230038527585886
0x40c049c7d7fB97372D73eADdB71997CAc68f3Ddd,134412532331307698252239
0x00b32916575fcb38675309dbF122bB671Fb60497,132874218131285131429277
0x7C6EC14c8dA5bF4f67C5021F4D41a1C6C14fB98f,129356086292186135236441
0xf0B253afFdE4d348A63e2A5971C3978342c28461,123856567123380268614682
0x45602BFBA960277bF917C1b2007D1f03d7bd29e4,117920573739935568823670
0x75cf80481A444a3122aE1c6CE2cCb0B6622d8608,112321254134159041443156
0xEC8DbE01DBcBd2b986E45023DaD586795Da863Fb,111701955680397204516504
0xcd1883D83aEd27a87cC7572eb8F9855A0BdD944e,107719898240321453359113
0xE91F64cA1da165Ca8437686B69A022156550837B,105529926421686364685977
0xd9305FD3c64f35452Ba4d76F39EC7Fc8c8Bd77c4,99644621062287260821229
0x7D6A7eE46f6d5AddE1A19776b441AA0dF3279530,98400258991269100154946
0x4354A28c70E33032619DF646b6DD0D39d0C75916,96164375673756530245372
0x42506E49bE739699C14a1483874D0f12e9b1C62f,96068369203461556626915
0xEa8d287E23F1E005Fa8BD3c9d1EfAe2c726dB9A4,95155275668183787919392
0x9Cf59Ecde926cc1B5FF1Cb9b247E0FEC627091b1,92390876258700113293632
0x1fC669775A111a556b5D08B47553165d09E42Aef,92275200246838372804579
0x571e9aeFfF646CDFa80Da4745293daB94A7Ba4a2,91981725203903599951547
0x5deFD7328F2C5D4e84D21dAF67ea66bBE3cD6905,91471189596455295857667
0x0C36ac8863D0352436A70adDbF1Be34f3ea11017,90006065901545528667934
0xFEEcdBb3a8f9161c8CBeB79133564Ff92Bd2Ab3e,85955477125218430595320
0x7ee300Ec74F7af0304a9038381ea3DcF3AEE940D,85888841055375531975850
0xcEd2121058D0Ac8C931E061a263B441b9dE56b9B,79779077878681945722092
0x84d5922fF253e7287b642091F5803dF28a7E39Aa,79606101844690104792272
0xa4E097962c395b27399B326f16eD4d9466138Aa9,79478078813334202236116
0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,79045000939709750431153
0xDdEB3A5D35984014b732E71Ac99F622fae483544,77534177487192598471725
0xce0Adbb76A8Ce7224BeC6b586E18743aeB03250A,77233076628037851227502
0x69daA47F4773121D58e28D73D4afAa6A2AD7B9cD,72440377799487760520000
0xBc154c448A2Db5b164854e3e00b693A89cEb5CA1,71377304812298590003467
0x7Eaac1748de6E99BcDab7F06731065edc90e6bac,71180270833275246178726
0x0905b0aca8A0b271071dA96790145386D9388Fa6,68920013241495030920212
0x78e96Be52e38b3FC3445A2ED34a6e586fFAb9631,68745288636300251329419
0xb0e83C2D71A991017e0116d58c5765Abc57384af,66464146076087362166381
0x3EeB02Dcf25be9a7EBc473221B6B9dc76AbE6bF3,66438751281581839217632
0xF5c063c58670B27E6a9FA97a20dC5BBBC493Dcb3,64227037928311891369354
0xE34bb624055B171D777EcCBbFC3BaaeeFfBE432c,63848834075485604728793
0x12FDdA0fdC960EEadf164C1183A8B16daB3B8034,62892764933666973325028
0xb5aeb3871b5897CFe24393c866137974D4e2Cc9f,62477575477614337400059
0x22fa8Cc33a42320385Cbd3690eD60a021891Cb32,61577824495676102337002
0x5309aaC198C88a7EB770244887CdF051E1155A88,60554502084772085275002
0xB03aEac789533514C7dF885e0D930d5EECB400EC,59807793289965339302840
0x67C42DC01Ef85F278BD0fED66D5B49413649ad8D,56561706677076505910270
