address,amount
0x1aB2be15A12437C0DB4412EF2781A2F499964e6f,13916480
0x4c9C3f2515B1315bb0a8177Ec15f3f427c5F8ec2,3182925
0xA312A2A835bDCda893020CE23871470ffD26b990,2105824
0xa3cdD8dC1d0973Db547e427E6eF5e82efAa5B63c,1821067
0x9986a304b0e825231bEF2dDC9081e6b369b1a495,1572919
0x4143A6b09545e1196aE3C9722A4C2Cd50D3Cc7ce,1549283
0xD5a589b294B4A1687554FAf18572640e6024Efe4,1526569
0x5041fC8Ff3ecFfcC0644220401090E921E272B77,1517871
0x610337CaeEFF02ADD4F56ad34aabE9Df020C6733,1405009
0xB70399fc376c1B3Cf3493556d2f14942323eF44f,1392209
0xC6eaA69C6f5541388122154297834B94c68dbDD1,1249695
0xC793eE64E6Ac6239C527fd041a78A8FCaa245e4f,1123823
0xeA124F96A1226d0956D38DD95c089d5cd5f82D71,976146
0x311EF08626709a0DE3Aa84d396437773340e022d,901211
0x8bb18f1eeB8d170F4edfE2C5D008986171B4e572,854645
0x70a8283A2209b3F4E8C93639D94724b905e1b612,833706
0x952580D41f10dB41d97fcd6B1984bC2538eEFC2c,816895
0xFE819920199392CdD911AcDaED84b38f30e27562,798821
0x5838ae59D80CEc1126122E5bbD273E007D28C3B2,794284
0x99999990D598B918799f38163204Bbc30611B6b6,789313
0x1B18D8126DDE618E994A9B4ab115B944EFC748a2,764992
0x4b7b07D8BAf51975eeAb0E1eb4B481A5aC691ED6,749195
0xCD7F1f5470D11eA032422CdA6fFF014694185b95,746071
0xe06383ECe7b8BBB6c3F65A95FC2b6450E9077A6c,741095
0xa58fb0a716410bFDD68ae1BAf7DD381E308f4bFB,739155
0xf3c0f24ECA4b1c02117711c7945Ce1FBb19c0940,708290
0xb30C415A850477bb86e16410cD30865470Ef9165,703537
0x6206F6E372A3bF424fAF5618BA334E15488e3d6d,647170
0x0040DAAC32D83c78546ae36dA42A496B28ab09E1,638481
0xc25FB678003eaF8EdBB4c92a8b928b11957b7Ecc,607146
0x2C180e93E8928497B4c85A77189c030334b11edE,606973
0x9a70d89dB9A7Ae5c04d2BeA3049D136098e32e22,604355
0xa525CEd61d859431D1390BF3514c479ab8E1a8F8,597597
0x1A8652b88D2dBF84d362676E47d0E4Ac5E564060,584219
0x508dd44Ff3404e618D430D4562C3773B073a5Ccc,561920
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,546590
0x541cD6E89cCA9286E87628E945D6d56a1483Ec49,536362
0x590f4cA9b70860d1B89be8A7e69f22E59f6dCF6f,532315
0xF816AbBc2888AB5D21DA164f7603c351e0109DD9,532250
0x2EB468B1C02E6713770a0a71B95e9077a9f16651,529427
0xBDCf263D5d85e134199Ae2a832EFE161BcE63C72,528062
0x28A33a73C2Ebd848AEdA3792Be629ae1aDdb4e7a,520520
0x9a5feAb2a4dc7b67d35c0ccb496262892FD89367,516635
0xa6bcB89f21E0BF71E08dEd426C142757791e17cf,510838
0x7450EBbe6Dc4946e0dA5425Ec4712b7523cE04b6,504442
0xb85D31b6f1f44C0D113BdCa6b550E773B24d345D,494416
0x865be70f4d60b9A23eEAEBaB449A3Dda5B3bA69B,493500
0x5e8d4ADCAF42A97Ed474f74013B208d7635a1324,491102
0x63e0E1312A693a3E113574060C424d1411ab4d55,486515
0x865819845dCeE5E49d504c97Ee87A3E4ed4a823d,472688
0xa430adB5562dA1b0d92b85C87a54D897e3774214,460518
0xc9eAe131858bB939E5117B283dC2CA70B0589FC0,454406
0x213C6D1C1bAfA7A76476Bf4D5c281d69c8537A8A,449654
0xAB3fcf5eA98f31BBB47b0E47c054d70E13B21966,449593
0x2072d28346d2Bc60C933dB20d60f8D374897F24F,447997
0xaf49A257A6C66b509916aE316358cf83b3f17D49,443269
0x8f791F061d7f36dc07De081ad88F87d71be1585E,440257
0xd36DAA3AE2e8D8500565fB70774c0fcabe772651,438865
0x19D8da2674E8A025154153297ea3AB918DebF96d,434860
0x5a7A4Bde5Ec6064A66504321af27a82b093f6438,433715
0xE36e93dac492935420Ba0Eca112830ff786Fadf0,432513
0x4501457c36aE0647Cd43a1a81EA4e9E69604215f,429614
0x1E1b82F387E8B4d91192781fe39B75B6980d79cF,426128
0x0b379F1848fA2aab7790966373618F4B0Fea6A6e,425180
0x45698cdCC733cBA4f8B1150C2f580587adF1Df92,421124
