address,earnings
0x00173C4cB23E6d876fcb036bA954A2F9cfCafA19,12000
0x001d7cCf4bd1f7997BBFC8Db07b00Ec154f3fb20,12000
0x005C17dd5BEAad3cb9226bB50a02f066eB125E0B,12000
0x0065e36DE18c6A7e99552d285d9A957E5900b47e,12000
0x008b15860738a929DDdb478Af6Cc1D7332329350,12000
0x00951c1d1241f9bE0Ef5A55a1755fa49c5629eBd,12000
0x00D2432E6af76a8150A7609D7ff11DBe44de8e14,12000
0x00EfF2Cd38911526bE1c3e80DB227c463aB52091,12000
0x0106e09f7bf7Ee93EBE3f801cBE98CebA1D528c5,24000
0x015122A625b45f68E6D795C0Ab99fC7107e4c3B9,36000
0x015514Ab18515b7951616A1087D4c5d326816639,12000
0x01eb13FFf64d7949906264443eAced70eFAB53de,12000
0x022111936500251ea358a98cbB158d77580EFb42,12000
0x022C2428F3EBac5841761116F185fe33909d34c0,12000
0x02B2e164E69E856F31629F8D2477E6985eaE087d,12000
0x0338b5A5f2055b4A35696012D49d22Fdd6DE78af,12000
0x03d15Ec11110DdA27dF907e12e7ac996841D95E4,12000
0x04E6720771508f835765E95cDc0fF71cF31403bA,12000
0x052CD92257aA17b3F965c4B0D3F51F0d223C6950,12000
0x059213d0aDBD35DEf06aC6736C8bb310360C8a5D,12000
0x064F418394f09A47f744cfCCfBc7b59915dcF2FB,24000
0x065F81841c7cD14E0245726c558D7e2c42A6c1A2,12000
0x066C2bA31DcEc0a64334fe9622b0126f554EC604,12000
0x069029A66A08a78EbDc903B9fF9e5f1aFf2DEb3b,12000
0x06c4865ab16c9C760622f19a313a2E637E2e66a2,36000
0x071b975245bDfE7f9E2d685FfDAfEA14e148C6AD,12000
0x0730932Cd206b339bCCAa23D78A10308218033B8,24000
0x0794a504F78f5D80b0B46DACe93c593fc8219D53,12000
0x08DaAB3171a969cEc71B0854B3eC982C0415272e,12000
0x08f6605b2d87534d094CF6F4c3c0b0E641e3025d,12000
0x092230b0D8cDf29B7F76caA04095b247B1AE85A5,12000
0x097F9b7bf9388EdEeE14E9cE8Cb30d4ceA330dc0,12000
0x098D3B9D61DE50bD85059969D1b302047D0aC73a,12000
0x09afA892A3cfb6763c2160b37d2c842705535bfc,12000
0x09F213953D92F865b949B3E39b9dcFaE687d4966,12000
0x0A0D2c9AbaD30D06Cc270a14f10B326A91c69305,12000
0x0a58Be2F2b8762e5c53057B62E43701C8D5adee0,12000
0x0aD50dEaC568Ce0075a4Fb2F5788150Ce3AffbB2,12000
0x0aF3c72452aFA3271C4CB3e4027B0a62477BfBc6,12000
0x0B438f8F47bb99a8B6360DA2a934B1DF77E3138a,12000
0x0B58857708a6f84e7EE04BEAEF069a7E6D1D4A0b,12000
0x0b6968E5C2c1AcD72cC355F0Db65F244EEff9957,12000
0x0BF9f384F404Eb199a4e691E260c517e229735F1,12000
0x0c77C848FEbD7CEe88B89E89975a5C45Eaf540dF,12000
0x0CB5D3dC004b0c9E14D13ED9cC94c2fd219223Cb,12000
0x0CCf4ac22059923593f7b3997b1984160C032158,12000
0x0D1544d266Ae98A774eF0F6085Df81F9e9e4c619,12000
0x0D7c467a569794e7770666B2261674E22840eee0,12000
0x0DC035f2BA5D9aAe02c873aa76714a98E6dE1111,12000
0x0DC5451e37614a0B46397cf14fE0Daa0b70ABddd,12000
0x0e256fF68fCee86cFb770DcCdE2088476463b110,12000
0x0E9B063789909565CEdA1Fba162474405A151E66,12000
0x0eFe0A4EA438fF3a06313f3F7875554D86637dD6,12000
0x0f332fd0EB90631EEF76070E82b6edB9E72CF356,12000
0x0f3F359D18Aa461c58Bce3DC03F87B848e62A0AF,12000
0x0f5Da3aF2477480B8eE170946b7CE1ED19Ef0522,12000
0x0f7a6A1Da92aaEa9975b8Fc4eA45C9aED858F3a6,12000
0x0fb3565B50eea3d6EF1bfd60Ee2bb23FD7fC6F83,12000
0x0FD48c76b724FdFF2829551e799B5e6ab8EC51eA,12000
0x0fDe87eb66D8046Dc922fE9dFFfCEB89FCbeCBa0,12000
0x10C598cF1da2a558561820d9224A7c8535Eb24CE,12000
0x10E7b3ae414c0a7E68b275BC421044E546fBA8B2,12000
0x11Ef8F3f57b7c2a317a420854Cecdd8A88f6Cb64,24000
0x11ff740916b1c18a19e496cfB591a65A1D19F025,12000
0x120e2be218bEbd82ab6822AEb7ae9a16D2b56e3c,12000
0x12846A6Da4e729a6B5c33d32F93bf52EE3CAe8C3,12000
0x1295299129c66c981eE685EE36ff030e7AC4eC87,24000
0x13013b5F91853b9DE4cd98433773FaF9730DfFA3,12000
0x13a5e7BdE7477616C953ac4d4a1A82F751053efb,12000
0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,36000
0x146dAc38060ad45F8eF41100B515083e953611a5,12000
0x16612bdB3a6627497De3BC848D46a3694624036C,12000
0x1684C382352FA8992E2d12264b08CBFd8E06b7b1,12000
0x169D44Da8F18DE54E5d22c6f57bA641564daF630,12000
0x16A90706BAA40Fb82b201172269178443de5C70A,12000
0x16Aa252FC8a60187E7f52a2F0f2292914F65Caa3,24000
0x170A7D8baB450c3aea62310984d4d6b74eD8Ed8E,12000
0x1730160DAD28284A884683Af648C4e10aabB7BC7,12000
0x17d2B1B51fb36eF6f8e397feEE9e0C98Ad8EAB60,24000
0x17EA0fEF3a81eB47fb7087B1c18aC3D4b694511c,12000
0x1819d9824B3b094e17F17CC094bbD84126d60854,12000
0x18435496Bdc528473C19b949F4c24f0962A1166F,12000
0x1885545B12a41d5F07252fE319Ef9b5a70d4732A,12000
0x1887827268d3bBA90144a8D322a1415E88f05b67,12000
0x18e107442088140723DEfBde898B19Df03C820c3,12000
0x197489fAAcd05C6062845E070F3718C864D11bf2,12000
0x1ac1f5Aa71855E6EDC67ac02C851C8388DF38274,12000
0x1B2ad7794Ce84499423dd2e2bB48967FA2Ae97BE,12000
0x1B2Dc44EdeB1a600BB0713A64e529cd8bC57bF04,12000
0x1b39AE80828BE459440CEc9260D3bF5725D06Cf5,12000
0x1b5051214bCe31dFD34eBe38fa97f77cDc9903d0,12000
0x1B52326288f061794219f7095D5D637CC0950073,12000
0x1b9FC028057B39EeE8116926517ef62b34813dc7,12000
