address,amount
0xFFF8A72C72E0D5E08E85be05868990e8E4EeF2dA,871263696091196
0x366e58737164430AF4AEd2856840be9BB148BDC7,2381580168906083
0xc405Beb918F296CdFEF155DB18da0A1666930C86,7805735671595961
0xCFfA182Cd56E854c9ffAcd288CA8E06a51831C28,7990457977114194
0x224443005fD9b19331cc688Ba6f80E3411Fa5581,13284347755258374
0xFf2Fe3a3EC809A0F3A00F32e29Ca096D359E4aa4,14063865742482586
0xc645Be12020daF0669Dd5FfC7f62AeBAD74Aac96,20487597151857852
0x000000ED5113006B6f24002dd7577Bb547e2005A,21299341325647944
0x74D5477bca8CD2E12Bc755FfC65084A170A190E6,22621600001651216
0xA4B388f778ff8e1e024dde9ED129a82354692eed,23056723938125180
0xBCFdd607b270d874F5a2A4ce1abCB17c455E0f21,23471136803509436
0xD2516a2222aD632B271Bf5A0D50c2482Dfb4123f,23619392284280320
0xdcA688b9693a0d2f98F4a9E89b978978005B6570,23626792165178928
0x7EBf6C693dD590d5B17b6f1B532592173bBa36c4,23627249285593380
0xb1c2f394c7c8BEDb2127f581781cee0053C8070e,23758196702805056
0x788aCDd2a4502f9c062219De1A3Ff5f21dF3Badd,25443234716108880
0x8b0BcE85F0125B1816d49bE692E5a3FdEAEA6BE4,28069194201944652
0x7995ac79aadB0F5e911e9c12582e2C81Ac9B8D2d,28709006580590928
0xC323579307adF07DbE6c3D2d7a44eCBd8c672945,32943931701940232
0x42E639c53a3604e06E04c20F5332EfA8a33029F8,34538116159639016
0x66666600E43c6d9e1a249D29d58639DEdFcD9adE,41360958369858624
0x00000000DC0E59517a8114348d9130e7d3835832,57484602091184456
0xb7BF6d8c87494C245fc86823C8FEC8812DcE7A6D,58570533893536552
0x28C02269d9b666FDBc88667Ec552E1631ac390B9,58595090372346408
0xB17C4cC4691d117E80905518ef5A2AC2A0E14C56,69211066509922720
0x05Aec30b6135a83982594F16E8f6Cb53524baF63,85424836040717504
0x397d34604F2b2227F4fb0bFEC2e48D4E85C5aA67,87608995901741104
0xb89Fa54d5D7BCb78e121f9fA85Cb47242355c68E,93335381711636944
0x18A168ffC966f1D4b5EF33D38158F182dd30CCDc,99881598683299296
0xF7ca9eDcf403355294585B8f2458CD748B9c2b76,126217886711619760
0x5E974411B3626De25BcC18BaecAa2d1e05bAbC3E,127506024556049360
0x565daA1B8a0ea9A9D2860C4C00d0781f4c6af591,127571758765789440
0x3a7510c7eC57E58a0B239db6C14989649531c4a9,151600386250671776
0x2ecBA005DbaE846A51877DcF77ff1D812EA5E242,151619919357257280
0x87413f4E4347EE3E07C62fD6e88d9Dc39F4f478c,151664707389522080
0xeFdFbe1e0248D6756F6B82f48CA2d817c7FdF8E2,188806945305665504
0xF8376885cE75e67c43Fe1c42A3a00ED2896783E9,197844913966993856
0xbE76b727AA029F040973EB8FF60aD6a1954F6cee,209514084190642720
0x20e60338E5F625E077955D13FfEa1aF1a9e8826b,229588777000411232
0x04Fd334BC593740cD0dEF9a09a669b0CE4E09aBa,229589704956310976
0x9C8639aA93B0Aa62b015EdD225D8A52f25a5228D,230434400970189568
0xea21a20495c087639A4d922E695C08F053a628AD,234584194791563328
0xAb7a61452fECdf65A2F7B3dc612FEe83cE8107a5,238520927729661152
0x44DA58B01D1d68f118d56694455D497E2d33CfDe,243848892560806048
0xC66CCe4ED2655D130f81e29E1b44F8F8f8Ec2C54,243856550304502752
0x59fCCaf0b070b97F84122Ab1A788bC7403B5e624,243858503810547712
0xFB1173620685bB26F0ba2fD11Af3c3bCB66F2453,243858816371515008
0xee92d1A899D28142274CCB686ce44a9F32Ddf65c,243861629420219936
0xeDb7367FD9D58fc59F9d28edD74c056CE84222d3,246048813858376032
0x2fE50c88f228DACfc24100dE0c5167aa7A539DC6,249726445268661728
0xAb6f255DaC71103EA6d57B320EAf0EEc901B05aA,250929609641806656
0x4CF294cB8D8f73D0D5281c3Ff6d876C267b95C1c,251231817026975360
0xde208627B38b9795284efCc14D8B8C313462876A,252427323656423808
0x926F974a623c51CAc02c7f5C178Dc6d2F431C23D,255248538016560576
0x157f15bFF5ff1fc5d1539adD5FF886cc71Ffd402,314371605762495744
0x5De08de3A78d30bB21c0B77cEFEb153677A36C73,316698763502742784
0xDC49CA4BAB80C37143Cd08B46C8a55a6CF1d00C8,533655983223506240
0x2C762B6D4ABfFb986FBdC04EA3F8F8D8E63ee7f5,541472796826354368
0x31df26c946b64d794D4b8140309F12254A71ECf3,555300722983736064
0x343F1a93A4241b4e441218f931DFFDD1321096F7,785528222786186496
0x9ECBd28AF241acE59727D61F7Ca4B74b6f1697a8,795887119259312512
0x85D10d3c539bC4bbE13fd1631Fa09D14e742Eb71,811401692577911680
0x7b9AA2472a6FeFd1380B457951b078a4f6eE1B3B,1107435699444243968
0x87531E7Cf2a7f6CF0CE531B03Ff4478da4E67E2F,1134989942431731712
0x927540125403c06685c1c8e33796419d93a122a1,1136014642560574720
0x9B1d22D0E2E8996ae32299a41E17431edb837286,1153413067241366784
