address,amount
0xF3E76af90A74fE743db172996db484052e2bC61f,0.000000000000000008
0x2b13a4AcFF9934f1c60582Dcd5a7db947E74AdEb,0.000000000000000007
0x29BAd99eF38f7B09E2E7a482fd74dc9A5E57ef7D,28409.0909090909
0x016B8128cC9D57AB6AD5dF19Abe96AD6c106120B,28409.0909090909
0xa45f2CE69ca976613e7eFE3E0E0F3C2cA7353547,7954.54545454546
0xd3537114D0E65f7e27D456d50E1F8d508C302225,2840.9
0x4A24fd841E74C28309BCa5730B40679e18C5FcA0,5.33837
0x62155a2f7451caa0c7f798681792cbd7F2Bdbd8A,4.50913
0x3Db3dB31027F810F73F1F641aD995c02D5B6D749,32260.4
0xE2262b6a9e049E1c9E7675b32090744e7dbD8FAe,28712.9
0x8AA6a67e96850e070B0c8E94E3a35C5f9f01809C,27995.1
0xD3e842A1D04F9Edaa328cca8874C8896F0044CfB,23764.8
0xF9B074F78f5619c5D3051F5380693cbD766351A4,23420.4
0x569870903c3ef9768427135f907cb80376d1A3e0,18067.2
0x40C44B91E3Fd45Cdbd860D81E123c73871a9Cc3D,17797.8
0x57622d4c4be22ab9ad3Da104dc281d738e6F5b6a,17004.9
0xab8e2e0E9494FF80E99460F4e5762651C9b78ECc,17004.9
0x72e7BB93E73b2885a22CA29c34759361399a5C0e,15586.2
0x20Af18D5d45E595F50b838B91dbD87a425ad60B3,14913.1
0x1203EC3a48cED7ee62eaBC56536a8Aa3033a4417,14913.1
0x38A95b555CaaE06D69502519733aFCb2107b215C,14408.9
0xfDb9832051C55FdE9A0985C82c4a9303829d9350,12667.2
0x4337941A2Fe5d22e3f70850b69931D97044Dc176,10930.6
0x914366ce72ac5260F4bda706c6b0c6a63AAc2b4A,10930.6
0xA661d0805CfcE98519D067d8F7923f853E5282A6,10420.5
0x1d933Fd71FF07E69f066d50B39a7C34EB3b69F05,10420.5
0x4A041A8EE6653F3d5F3355D3f5BEE37b93836284,9990.57
0x17bB6b65B7B5BD3651782CCF2e01c2c9c34ea0Fb,7813.53
0x2c0B08C414A8EE088596832cf64eFcA283D46703,7047.3
0xaF884fc78e7446e3e11e8E4C7d4e2085B8aAF956,5590.26
0x26E17aDa97868A75FFbF01bB36DC84dcAC180f83,5204.38
0xD428962767EA96300C6F2b0119F7B7a17e36890C,5043.15
0xa718d455f0AB73cf94acccB1D3207D020EEd4af1,4394.02
0xda8e8f5C1E7c6C7CfA9A5Be1926C30F3D5990c23,4198.72
0x59653fd9713a30C54237A6FD21fD97BA141aBbe0,3787.81
0x6FbE6EaB3053fEF0DA871807346B0B40E989840f,2752.77
0xe5a802314602d45ce8734Df30701a45F7875759A,2705.07
0xc0EfD9D4B3c7E1f4F8B700C0F939eda9a2B738da,2639.49
0x67037dA0Acc7CfEa5994eb21F922E19bF18110B8,2561.53
0x78e4Efc4346fA75D7794CA9f6381660aCEB69Cc2,2492.83
0x6fcf0CD994e1034f6A967e7a3D662d488185eF9A,2434.0
0xeFCaCE57934a753D66C48A31b880ba806d4c0869,2350.07
0xd618B928EecA368B327d2131742f1b661460555F,1743.0
0xf8fa72074eb5F349Db828CFD1bEDE0A7978e43A6,1728.64
0x464a2d4Ee1B14AE15fCC2468c78F70C6c00b7CB2,1611.93
0x3d8D008C22dB786Ba2080e50B3FD54Ac46Ab22ac,1611.31
0xcF41142Ad633435B6D74eE9f969a6a7B122822f2,1567.2
0x942d75D5B07146c158472D812907329A94F509eE,1508.91
0xF4b40B20572D117EAD7b5ca3C7eFf7d3CBdC4067,1378.18
0x663F812d12DAf6c8DdB01E0D709492131B8c9B3d,1286.68
0x87cc1D672356fF6A5c320dfeBCf36bFe7e0B4F5E,1280.34
0x8C4a25bD802dC1dD7E44cE9453E1B9d36a2f4Ac3,1251.63
0xEc8A675289BEb9cbEDBE5E8c91059668E2192Df8,1216.03
0x40e0E8846257c78a7B4dD3874a3a2A5c6140b460,1191.46
0x470D235cA1CafF614AbEE02D98Ac3aa89A6758bD,1188.02
0xD699661d340020fAc955b227a913cd58aCA68Bf2,1163.43
0x80fd0accC8Da81b0852d2Dca17b5DDab68f22253,1098.65
0x2fB0D113DcFEac6768f6dbcD13Bba27408aa38cb,1079.67
0x539026081e9e9b45D5f7CDeaBc5469E5c1fB7d6C,934.091
0xC13cad139d0a54Bb496cb05BE126fcBFf785AEae,918.908
0xE50074856d95f6011Ac34D7088273a2A02E2FfE7,914.928
0x9E7E40cDf50a8ab3C9b536c726d67E89D319F3Db,798.281
0x038Ff2387d7A41862349E8A4101216bc23A66Af2,696.749
0x96D62974DdeEf7D24914a800f97746a14506aed8,667.473
0x4e90Da1dDCD5B0Fb295b6A69251b5D04D5bCCA7a,644.514
0x4fA2b3A276A9E3277E49177964Ee3b3b189C197f,623.09
0x5998Fff8B8a51aF65F2983F7F09EF563a2753428,572.183
0x37003379857D3e5989Ca2cBF78B0c0cBD02C95C3,569.55
0x420052b64C10d12dD068bff2e30cF74f5A1cF1Ab,518.476
0xC5C96C291FB634653C0CD3160C649F94FFA6090c,487.279
0x6B1c9112Df0bE9D9A3e8987A96584519f6f81946,455.84
0x765a16ca391A6b9249cfA65bf2D14C38722198e3,449.447
0xD097852E9107B6405D5f64820b908b306b0A596C,446.597
0x13a5A4F42C030d3b149Fa2972fF5e03c65730AC3,428.223
0x1dE65DE28006016F018006D64fa7b9101226c686,413.187
0x97D9575F81C8C447574d8131BBf0B4d7124CeEF7,402.141
0x47F96D6f38d837e64ac10CaD5968bf3B9bA88289,399.854
0x40002C2dd52DA0d1CF5aba23B7397aD3b5b273e1,399.804
0x1171Dc2bd7224EabfDf619D359435F7cF24ee958,389.853
0x1fe0cFaF5BFc8DF52C4F0973738eb5eD66A2E6D4,384.515
0x58d7D2AdbfD05B919a8fFdAF245AAd5348796692,381.172
0x181A81e54Da038370A88B95F5b6E352C27C5bDac,378.474
0xB733CC44e781cb01f39B7d9cb9EdEdF702802bcb,345.451
0xF19C52c651D819eEbA7762e7fC83A2E7B016F4c8,341.169
0x43A996fa50d2f378d707aCA9dDCDE1C30CB68f63,325.503
0x83cFDE7a14Fc0d8bbDdFcaAF3993a90A35d1dBc8,325.127
0x1c0eC596303Ce6666f5a4D24c29e78Cf881cb5d3,322.692
0x387a9cAb0619f2FED715A79795473dd068039c68,322.604
0xCc58AccACd0db8010e4c8A20BA49D2DC9d4D7f59,320.197
0x2c58f853B21BecBf9abb59995c7AE33a6750BD0B,317.296
0xcAFfCf0Ba4132599363ea2282CE3207E31ee968C,310.052
0x56Fdd63FCd8466CEAd7b9298D798bb472575Bab1,309.935
0x0098663EeF8fF27d7757e632f346210F857a4bd4,309.876
0x4E9850008e444F448614F76454E7e336a57f668B,309.407
0x581FEE6ea8E8a2D178A66A8437F640a1d1fAbBF7,309.114
0x8efBED4E349a6a127857eB90220857B7f96ec2BC,309.055
0x26D835f01986faB15a58b0926aB1eD8de5c4720A,308.996
0x5CE39393dE73A17Cd518cbd34FBc201c2eD1077E,308.234
0x7b4Ba7eB3C2C6978343F055965DE7b616db20AA7,307.941
0xc5cF7665ae4A8FA60b0b1b770e7075b7E025A8Da,307.882
0xD07e20a52b71cE9c911385D04c79a2418Bf04502,293.013
0xC791d121dCcbe94F25De531e3b360b9dd168B588,278.994
0x97f156Cd2542629D7ce897D7a8d4966233b1AcC5,270.87
0x69Aea131aa2c758e65afFb07aDAC06A9d42d42fF,264.765
0x99b40B9b57c370ACA09dE4f58D26E2DEc9086E1b,251.293
0xa6A8f9bd3B042DB494a3F27CfE7E2211452799d5,242.452
0xD1D0A0652F75c34B1491f7860520D531b2eCd97e,231.717
0x39Ec25C92EE91cAE3775db9cCd50df1Fa108D066,227.26
0x99066a9f61248AE2E665e17Ae6a1b8d725961d63,217.142
0x8C49cEE7c9079AD84Bf0eBBDE5d26B4555C34760,212.098
0x07155E53A112e92dAE2b7D95F42E23264f2F426d,211.365
0x1AC0DbEf5E3eDc8b24be3663f3632457d5044c47,211.236
0xfd78c4a60B993B03c9038d8D8784fA13A56ad67e,205.646
0x93e79cC5a42F12ddfe73262FFb1f9535E263b27B,205.264
0xb85CA8B4EE48c5b00db26De546C1DF24c77db7B7,203.883
0x3804c03D09d8749033A742b013Ad8E9B9790b3c3,202.566
0x1efb3038DE631CfcE0C0A231952c6B90d5D9cFE5,200.416
0x7f00D98671df30A5998dfE3633a8a608d92d66c7,186.905
0xA8f93D06De2791e0e18EC2703d8C35e1aE1a3D89,185.805
0x8C587DB57d05C086177233D3BCB25a7739419c71,185.38
0xF340DeB2127065aC9Bf67d0BC80569eC57591275,183.562
0x3a5d9e242B7eF824C60F24Ac23DAa68859964543,183.298
0x4A07a7c6fe412d14134DcE2Bb738B32757B968Fe,183.298
0xC6326e5d3C128C38595134021A30af0C15916285,183.298
0x24621aA4DDE07F04C57146D83468969010b7489E,183.298
0xEEdA7f71Df5A589a9B8c5794AA3D28D66a4ee672,183.298
0x6dAB12884D9a8F5bA268E4a5F75970BBC3a2b21d,183.298
0x767A60F295AEDd958932088F9Cd6a4951D8739b6,183.298
0x26FDc242eCCc144971e558FF458a4ec21B75D4E8,183.298
0x5a5000B182A754C1F17bc00B43B352FD44206FE8,181.022
0x8fd8De2793b26Af161266B034eadCf1B9A553bcC,178.936
0xCD706dBef51aA479823ff449F5C51f71ec9C0e1f,178.107
0x3B05f381c9614dd41Ef83E54FcbaD43272DD8915,176.353
