address,amount
0x00000000005eF87F8cA7014309eCe7260BbcDAEB,10400
0x00000000034b55ebd82cde9b38a85aB0978B7a47,7800
0x00000000b9d747EF42D224e572a5B7e6488929c8,7800
0x0000000901C92bb92C98DF004bE56D37D1604C93,10400
0x0000004a90C5F466113FBF7309edA027D14336b6,5200
0x00000086793B4f89d4380aAb4d1c0Fe28768B530,5200
0x000000e28fAA823d5B53ff6C2922c28335840375,7800
0x0000CE08fa224696A819877070BF378e8B131ACF,10400
0x000158E60C393B51fdFAc71B14Ce70b70148C326,7800
0x0003bBB966655dc0FBBb380797b07fC547E9dDc5,7800
0x0004a89403E17f544bFbd25ECb1A7D9215a1D61b,7800
0x0005F124d6A49c29764B1dB08546108CA0aFeB68,7800
0x000A3D1BEf684A7C029267A26068de56b1c1B4dC,7800
0x000bc61d0a2dFEE19346Ad4d1FCE2fa3c099E0cb,7800
0x000f4432a40560bBFf1b581a8b7AdEd8dab80026,10400
0x0011a57841c9c738d80AE9C978A296f34E29ad28,5200
0x00159370Cbe576b765a7fb2E78582E0cB563d445,7800
0x0018D044B946Ede86B43BB3B964A45772a5abeb9,7800
0x001B9a6FDcfB3469D5E213472158CFBf3b4A6cE7,7800
0x001be549fa377710B9e59d57bbdf593CE1e379ca,7800
0x001fbfe0E74aDedeA03e6Ad3e2Fc1eee1a2d5045,5200
0x0023d9ffe7D793895c5dA5833d56c737832Ead2b,7800
0x002E7eA05D6721A04cD36ab5E9f2c72338d7f7f3,7800
0x0037A282A9435C68F0117617Fb9bd596aCfFFc2B,5200
0x00452D3fD0e6bd68943B30af56a8DF4eB7685387,7800
0x00479a0AA7550B9eA5A340Fe175FBe1557eA205f,7800
0x00495585ECf70ad7dD71797C2a22951ED92b9a24,5200
0x0056323F02Bb16dE8025a79aB09e1Dd5C8114602,5200
0x0059efca9d24bf579EE0314e7BC2569674aA42E2,10400
0x005A243bd4539b62bf3602c90157CF5c35Bf6E2A,7800
0x005d64b3Fedd6d53EDf19142087D51c7ac6ba595,10400
0x005f16f017aA933bb41965b52848cEb8ee48b171,7800
0x005F4ed154aec7B147190C97d3F2535fc8360B12,10400
0x00615D7a87DB47B333bad32ac807fD7400C35605,10400
0x0066023b24Edd70B7dEf47EFfbF2fd7617F9c66b,7800
0x00670bF160f03492AB83030617E333F039D8e52E,10400
0x007849ce924F0a3Ed1baCCBFf2742a3D1cdc7ac0,5200
0x007b003C4d0145b512286494d5Ae123aeEF29D9E,7800
0x007C7Ece6949917eE0673E6b3C5bbEF59A7900F2,5200
0x007De57773B6EB4ebbf6A740dFdE1EfDd5629630,5200
0x00800d9019001AfF6e1EBA3312e35e9b22D3f058,7800
0x008013813e8b0CF88a43Ff2585a9636136CeA2e6,7800
0x00861fEFCfEF0a542b0a6c90ce1eE575e257A6C7,7800
0x008b09c232B799d6B39d45f18C571F9A25c93aD9,10400
0x008C2b6E55284A2Ea09C62d50a7Da4C7c151deC9,10400
0x00928D0baC54E6A7171d26fE41A988b657E68eEc,7800
0x00929C5c2c4f00B540e429247669Eb6fcd8b1DBF,7800
0x0097E0dB217D5fA1C6F85A18368F181A9f011aD5,5200
0x009B05514D08dA09A84F47De870AF880Bcd375a5,7800
0x009efe467C1Eaaf4df19F94EDf33793954c03FE2,7800
0x00a0847926A77692495774f1c71BA8abeF99Dd52,7800
0x00A1F524EAB1d82B667812C6FD59Ba1F749F9d4d,7800
0x00A63087446564108E0DF27F5c26bbfa886B98CD,5200
0x00Aab7F1E59dAb1EF99b3475a1da90A941A60A70,5200
0x00AB84845d68063c1dcd2A5f2cead5f253b249a2,7800
0x00b879BFB781a1Dc21d6a810fa377A0D2064426F,7800
0x00Ba9a508580d634A6eE4a6C96B6c389FFFeCB6d,5200
0x00bE57E4ec695d077E63c5EB84187a7E70169279,10400
0x00Bf2F290d3aEf716cD8127acc153c273c23C538,7800
0x00Bf5ec16471769882C6aA21d99feCF7A8f5d94E,7800
0x00C350e5BCda0BD9F4759647a49E4900689366be,7800
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,7800
0x00C93B1dD2df624C69bF08ECce401ee5Fcc8B28c,5200
0x00d6AD895740C0A461a271E1B18b6Ec7A927B270,7800
0x00da5f800b50F2ec2C0B96DCE1C1c750D65eC30C,10400
0x00DB49c6015179625915A5534023bb90A68a3200,5200
0x00dcb0f4d625cA40A0F0cD2F45BbDbd343198793,7800
0x00e033cf0961d254D1B84708501797C20C4b07ca,5200
0x00e0F7897AcF2b1867A1262508fFaD376A4cEc29,7800
0x00e13f97e1980126cbe90F21B9C1b853878031Dd,7800
0x00E1F1EBb688673930602697e9982Ef8C93192b8,5200
0x00e53D75188203f84453fFbBD188F68Ed7F89cCb,10400
0x00E5Fc491D9F5e865c6c40E709F1c628828ca271,5200
0x00E7e8E3a78B3Bdc3f26f4CE3bB3d430473D4832,7800
0x00EAf5b22B27a0F78c61e65c32Ff7611022F0e01,10400
0x00EE80c322D6e956D2629a73223605bBda946F2d,5200
0x00F00Fa5bA62E19615bbf759B7155De7Ba96f27B,7800
0x00f0Df30fF796dC5EbD37F468FC6A7d731625a5D,5200
0x00f1209976C590c93AC3e9b9437ebeA0805d5c47,7800
0x00f2487b2342dB1E928Be3e0fB26347ed74243df,10400
0x00f29587A6890CcbcaD2dbde737E0d719ebB9701,5200
0x00F4594Bf5b5dFC1aF5A58b9b2610352d42bB575,7800
0x00F731bcd3a8d541A040A7586FF3d03dea48e31f,5200
0x00f97aeB59E2910674ff20f11B60328c2d2Dfa7c,7800
0x01060C3C4096B997e812581634fE14e0FE8d0920,7800
0x0107AaCde8714bd13357fC856d6b93b3f8B543e9,10400
0x010986A84F77b8467C34D9b14B0745Ce13eD6826,10400
0x010FF97670Fb68C1E11aD5F9823471Bd43672eb7,7800
0x0112bEf73098Ca5Cb9d62fDD35BEA9cD778a40F1,5200
0x01144D479f666f25f339f72D8566325728680Be1,7800
0x01161A1EcFfe7ECE0e28B5beF963650aff677190,5200
0x011b12a7F206b04400454B6a75a055b2307a3661,5200
0x0129ba41A907ac27F7683D291576f2E74362c421,10400
0x01355D9157C05Db65AC6425EeC560D051f72788d,7800
0x0137e8909C9d8bB5f0b522bCA5A75c83D6076Ef8,7800
0x013Cc394844Aa993D73ca9a08D89dD6d046F3BCC,5200
0x013d0ab50DFe291F61b3cC293639d02B84063204,7800
0x0142BFdF3D08EB9CCA160c04e9240d7f9631F2B0,7800
0x0144c47dF1CC4D52FF115F758918dC42a9DB48AA,7800
